Name	Number	BeamID	E	N	U
ANT0	0	0.0	-105.0353015473961	-110.7220528607248	0.9381711974937303
ANT1	1	0.0	-90.42745888420856	-110.6662643333309	0.9283957723292957
ANT2	2	0.0	-75.81961648211627	-110.61047580628116	0.9185869222903591
ANT11	11	0.0	-112.38751908856237	-98.10314445832503	0.7882534026380057
ANT12	12	0.0	-97.77967572985466	-98.04735521461419	0.7184946875553564
ANT13	13	0.0	-83.17183303826486	-97.9915661250264	0.6587025492404806
ANT14	14	0.0	-68.5639929817703	-97.935780119385	0.7988769889873808
ANT23	23	0.0	-119.73977457703892	-85.47423121942953	0.6483022134571428
ANT24	24	0.0	-105.13193283126289	-85.41844351240995	0.6685602076509127
ANT25	25	0.0	-90.52409078462014	-85.36265540340318	0.6587847775759172
ANT26	26	0.0	-75.91624899879059	-85.3068672895729	0.6489759313223189
ANT27	27	0.0	-61.30840852914473	-85.25108065717617	0.7491336568990619
ANT36	36	0.0	-127.0919908253992	-72.85532338883084	0.4783173375803713
ANT37	37	0.0	-112.48415061816304	-72.79953663063843	0.5685920418452568
ANT38	38	0.0	-97.87630868020652	-72.74374872605401	0.558833324933893
ANT39	39	0.0	-83.26846674137794	-72.68796059430368	0.5290411846245178
ANT40	40	0.0	-68.66062569506335	-72.63217303324271	0.54921562450129
ANT41	41	0.0	-54.05278409249072	-72.5763845598334	0.48935663984596545
ANT50	50	0.0	-134.44424520828966	-60.22641085479608	0.3282990227613034
ANT51	51	0.0	-119.83640383809876	-60.17062334758205	0.3385904398318118
ANT52	52	0.0	-105.22856362537235	-60.1148364063042	0.4088484356928319
ANT53	53	0.0	-90.62072188740113	-60.05904852225767	0.37907300499020025
ANT54	54	0.0	-76.01288097846619	-60.00326101593501	0.38926415587821594
ANT55	55	0.0	-61.40503985401043	-59.94747313193318	0.3594218810671457
ANT65	65	0.0	-141.79646225955224	-47.607504558194705	0.23824706916593996
ANT66	66	0.0	-127.18862059962545	-47.55171706784354	0.22855519380959421
ANT67	67	0.0	-112.58077902446247	-47.49592950495854	0.20882989799642715
ANT68	68	0.0	-97.97293760155205	-47.440141867269446	0.179071180989137
ANT69	69	0.0	-83.36509718483174	-47.384354603058554	0.19927904149981757
ANT70	70	0.0	-68.7572569977141	-47.328567413760325	0.2294534789887166
ANT71	71	0.0	-54.149417567333465	-47.27278082059341	0.33959449403257835
ANT81	81	0.0	-149.14868016281577	-34.9885987070941	0.1981615828306147
ANT82	82	0.0	-134.54083700136138	-34.93281103929387	0.11848641892184375
ANT83	83	0.0	-119.93299535837625	-34.87702364602589	0.08877783313700682
ANT84	84	0.0	-105.32515456255416	-34.82123642146693	0.08903582545146094
ANT85	85	0.0	-90.71731383970368	-34.765449140263264	0.07926039700552145
ANT86	86	0.0	-76.10947349588933	-34.709661915610035	0.07945154088782935
ANT87	87	0.0	-61.50163356053746	-34.65387479979161	0.09960926910434331
ANT88	88	0.0	-46.89379411639952	-34.59808795571914	0.16973357375283094
